,StartDate,ExitDate,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,GenderCode,LocationCode,Race,Marital Status,Performance Score,Current Employee Rating,Employee ID,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome
748,20-12-2018,24-Dec-20,EW,Terminated,Full-Time,Zone A,Part-Time,Production       ,Catv,Laborer,Female,38710,Asian,Divorced,Fully Meets,3,1175,2,1,2,Project Management,Internal,Passed
749,29-10-2022,active,MSC,Active,Contract,Zone A,Part-Time,Production       ,Engineers,Project Manager,Female,7184,White,Married,Fully Meets,3,1176,2,2,5,Leadership Development,Internal,Completed
750,20-07-2020,active,NEL,Active,Contract,Zone A,Temporary,Production       ,Aerial,Lineman,Female,13425,Other,Married,Fully Meets,3,1177,2,2,5,Customer Service,External,Passed
751,03-10-2021,19-Dec-21,PL,Terminated,Contract,Zone C,Part-Time,Production       ,Field Operations,Laborer,Male,93796,Other,Single,Fully Meets,3,1178,2,1,2,Project Management,External,Failed
752,16-07-2022,active,PYZ,Active,Part-Time,Zone A,Full-Time,Production       ,Aerial,Supervisor,Male,92453,Black,Divorced,Fully Meets,3,1179,3,5,1,Technical Skills,Internal,Passed
753,30-06-2020,active,SVG,Active,Full-Time,Zone B,Full-Time,Production       ,Underground,Laborer,Male,10449,Hispanic,Single,Fully Meets,3,1180,4,3,1,Technical Skills,Internal,Completed
754,13-06-2021,active,TNS,Active,Full-Time,Zone C,Part-Time,Production       ,Wireline Construction,Laborer,Male,14795,Other,Married,Fully Meets,3,1181,5,5,4,Communication Skills,External,Incomplete
755,29-12-2020,24-Oct-22,WBL,Active,Full-Time,Zone C,Temporary,Production       ,Splicing,Splicer,Female,60901,Black,Divorced,Fully Meets,3,1182,2,4,5,Communication Skills,External,Passed
756,03-02-2022,active,BPC,Active,Part-Time,Zone A,Full-Time,Production       ,Catv,Technician,Female,64083,Black,Married,Fully Meets,3,1183,4,5,5,Technical Skills,Internal,Incomplete
757,10-01-2022,11-May-23,CCDR,Active,Full-Time,Zone B,Temporary,Production       ,Wireline Construction,Foreman,Female,50781,Hispanic,Divorced,Fully Meets,3,1184,1,3,1,Customer Service,Internal,Completed
758,13-12-2018,active,EW,Active,Part-Time,Zone A,Full-Time,Production       ,Fielders,Engineer,Female,67399,Other,Widowed,Fully Meets,3,1185,1,2,4,Project Management,Internal,Failed
759,03-03-2021,active,MSC,Active,Full-Time,Zone A,Temporary,Production       ,Splicing,Tester,Female,82086,Hispanic,Single,Fully Meets,3,1186,3,3,5,Communication Skills,External,Failed
760,04-07-2021,active,NEL,Active,Part-Time,Zone A,Full-Time,Production       ,Aerial,Supervisor,Female,97001,Black,Single,Fully Meets,3,1187,4,1,1,Communication Skills,Internal,Incomplete
761,06-02-2020,21-Jul-21,WBL,Terminated,Contract,Zone B,Part-Time,Production       ,General - Sga,Estimator,Male,13562,Black,Divorced,Fully Meets,3,1188,4,1,1,Technical Skills,Internal,Passed
762,28-06-2020,11-Jul-22,NEL,Terminated,Contract,Zone C,Full-Time,Production       ,General - Eng,Engineer,Female,55949,Other,Married,Fully Meets,3,1189,5,5,3,Communication Skills,External,Completed
763,22-12-2020,20-Nov-21,PL,Terminated,Contract,Zone B,Full-Time,Production       ,Project Management - Eng,Project Manager,Female,88496,Hispanic,Married,Fully Meets,3,1190,2,5,3,Project Management,External,Failed
764,24-11-2019,active,BPC,Active,Full-Time,Zone B,Full-Time,Production       ,Wireline Construction,Billing,Female,55947,Black,Divorced,Fully Meets,3,1191,4,4,4,Customer Service,Internal,Completed
765,23-09-2022,active,CCDR,Active,Full-Time,Zone C,Full-Time,Production       ,General - Con,Technician,Female,75540,White,Single,Fully Meets,3,1192,3,1,1,Leadership Development,External,Passed
766,06-02-2020,23-Jan-22,SVG,Terminated,Full-Time,Zone B,Temporary,Production       ,Aerial,Foreman,Female,68342,Black,Married,Fully Meets,3,1193,5,2,3,Technical Skills,External,Failed
767,14-01-2019,06-Aug-21,EW,Terminated,Full-Time,Zone C,Temporary,Production       ,Field Operations,Foreman,Male,5779,Asian,Widowed,Fully Meets,3,1194,5,4,2,Communication Skills,Internal,Completed
768,25-06-2019,15-May-22,TNS,Active,Part-Time,Zone C,Part-Time,Production       ,Wireline Construction,Foreman,Female,91065,Hispanic,Widowed,Fully Meets,3,1195,5,3,2,Technical Skills,Internal,Failed
769,09-03-2019,active,PYZ,Active,Part-Time,Zone C,Temporary,Production       ,General - Eng,Administrator,Female,47386,Other,Married,Fully Meets,3,1196,4,5,4,Communication Skills,Internal,Completed
770,13-06-2020,active,WBL,Active,Full-Time,Zone B,Part-Time,Production       ,Safety,Administrative,Female,38009,Hispanic,Divorced,Fully Meets,3,1197,3,5,4,Technical Skills,Internal,Passed
771,22-01-2019,active,NEL,Active,Contract,Zone B,Part-Time,Production       ,Field Operations,Laborer,Female,61843,Asian,Married,Fully Meets,3,1198,3,2,2,Project Management,Internal,Failed
772,12-12-2020,active,PL,Active,Full-Time,Zone B,Part-Time,Production       ,Field Operations,Laborer,Female,75258,White,Widowed,Fully Meets,3,1199,3,3,3,Leadership Development,External,Passed
773,27-04-2022,active,BPC,Active,Part-Time,Zone A,Full-Time,Production       ,General - Con,Laborer,Female,62616,Other,Married,Fully Meets,3,1200,4,5,1,Project Management,Internal,Incomplete
774,11-04-2022,26-Sep-22,CCDR,Terminated,Contract,Zone A,Part-Time,Production       ,General - Con,Flagger,Male,53450,Other,Divorced,Fully Meets,3,1201,2,4,4,Communication Skills,External,Passed
775,01-09-2022,02-Dec-22,SVG,Terminated,Contract,Zone B,Temporary,Production       ,Wireline Construction,Model Assistant,Male,9799,White,Widowed,Fully Meets,3,1202,1,3,2,Technical Skills,Internal,Incomplete
776,08-09-2018,active,EW,Active,Contract,Zone A,Part-Time,Production       ,Engineers,Engineer,Male,14153,White,Divorced,Fully Meets,3,1203,3,5,3,Project Management,External,Incomplete
777,24-11-2022,05-Aug-23,MSC,Active,Full-Time,Zone B,Temporary,Production       ,General - Sga,Vp,Male,76112,White,Married,Fully Meets,3,1204,1,4,3,Project Management,External,Incomplete
778,23-07-2020,active,TNS,Active,Full-Time,Zone C,Part-Time,Production       ,Yard (Material Handling),Shop,Female,73101,Hispanic,Single,Fully Meets,3,1205,2,1,2,Communication Skills,External,Failed
779,28-12-2018,15-May-23,PYZ,Active,Part-Time,Zone C,Part-Time,Production       ,Engineers,Drafter,Female,82378,White,Divorced,Fully Meets,3,1206,3,4,2,Technical Skills,Internal,Passed
780,01-10-2019,active,WBL,Active,Contract,Zone B,Full-Time,Production       ,Wireline Construction,Laborer,Female,63878,White,Divorced,Fully Meets,3,1207,2,1,2,Communication Skills,Internal,Completed
781,17-08-2019,25-Oct-19,NEL,Active,Contract,Zone A,Part-Time,Production       ,Wireline Construction,Laborer,Female,59862,Black,Single,Fully Meets,3,1208,5,1,5,Leadership Development,Internal,Passed
782,31-05-2023,active,PL,Active,Part-Time,Zone A,Part-Time,Production       ,Wireline Construction,Foreman,Female,23252,Other,Married,Fully Meets,3,1209,1,3,1,Communication Skills,External,Failed
783,08-12-2020,10-Jun-23,BPC,Active,Full-Time,Zone B,Part-Time,Production       ,Field Operations,Top Hand,Female,91039,Asian,Divorced,Fully Meets,3,1210,4,5,1,Leadership Development,External,Incomplete
784,05-11-2018,23-Mar-23,CCDR,Terminated,Part-Time,Zone B,Part-Time,Production       ,Field Operations,Splicer,Male,37834,Other,Widowed,Fully Meets,3,1211,3,3,1,Leadership Development,External,Passed
785,26-08-2020,05-Apr-23,EW,Terminated,Contract,Zone C,Full-Time,Production       ,Engineers,Project Manager,Female,46678,Hispanic,Single,Fully Meets,3,1212,4,5,4,Project Management,Internal,Failed
786,23-02-2020,active,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Project Management - Con,Coordinator,Female,41849,White,Married,Fully Meets,3,1213,1,2,4,Project Management,External,Failed
787,12-02-2022,active,NEL,Active,Full-Time,Zone B,Full-Time,Production       ,Splicing,Splicer,Female,16422,Asian,Divorced,Fully Meets,3,1214,1,5,3,Customer Service,Internal,Completed
788,13-02-2020,active,PL,Active,Contract,Zone C,Temporary,Production       ,Aerial,Laborer,Female,79625,Asian,Widowed,Fully Meets,3,1215,2,1,5,Communication Skills,External,Passed
789,15-02-2023,09-Mar-23,PYZ,Terminated,Part-Time,Zone B,Part-Time,Production       ,General - Con,Technician,Female,11159,Black,Single,Fully Meets,3,1216,4,1,1,Leadership Development,External,Incomplete
790,03-12-2019,31-Aug-21,SVG,Terminated,Full-Time,Zone B,Part-Time,Production       ,Wireline Construction,Vp,Male,52300,Asian,Single,Fully Meets,3,1217,5,5,1,Customer Service,External,Completed
791,31-12-2018,active,WBL,Active,Full-Time,Zone B,Temporary,Production       ,General - Con,Locator,Female,32620,Black,Married,Fully Meets,3,1218,2,3,1,Leadership Development,Internal,Failed
792,16-01-2020,09-Feb-21,BPC,Terminated,Part-Time,Zone B,Part-Time,Production       ,Engineers,Engineer,Female,83986,Hispanic,Married,Fully Meets,3,1219,2,2,2,Communication Skills,External,Failed
793,20-11-2018,09-Feb-20,CCDR,Terminated,Full-Time,Zone C,Temporary,Production       ,Executive,Vp,Female,89298,Asian,Single,Fully Meets,3,1220,5,2,4,Leadership Development,External,Passed
794,11-11-2022,03-Jul-23,EW,Terminated,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),Coordinator,Female,91837,Asian,Single,Fully Meets,3,1221,5,5,3,Customer Service,Internal,Passed
795,18-12-2020,23-Jul-21,MSC,Terminated,Contract,Zone A,Part-Time,Production       ,People Services,Recruiting,Female,31362,Asian,Widowed,Fully Meets,3,1222,5,2,1,Leadership Development,External,Passed
796,26-01-2021,active,NEL,Active,Full-Time,Zone C,Temporary,Production       ,Engineers,Engineer,Female,3274,Asian,Widowed,Fully Meets,3,1223,4,1,4,Project Management,External,Completed
797,26-11-2021,24-May-22,PL,Terminated,Part-Time,Zone B,Part-Time,Production       ,Wireline Construction,Administrative,Male,71373,Hispanic,Married,Fully Meets,3,1224,4,2,3,Project Management,Internal,Incomplete
798,15-05-2023,active,PYZ,Active,Contract,Zone C,Part-Time,Production       ,Finance & Accounting,Accounting,Male,66660,Asian,Married,Fully Meets,3,1225,1,2,4,Customer Service,Internal,Completed
799,20-06-2023,active,SVG,Active,Full-Time,Zone A,Full-Time,Production       ,Field Operations,Driller,Male,26821,Other,Divorced,Fully Meets,3,1226,4,5,4,Customer Service,Internal,Completed
800,22-08-2019,06-Jun-22,TNS,Active,Part-Time,Zone C,Part-Time,Production       ,Billable Consultants,Engineer,Female,89365,Other,Divorced,Fully Meets,3,1227,1,2,2,Communication Skills,External,Failed
801,30-08-2021,active,WBL,Active,Contract,Zone B,Full-Time,Production       ,Fielders,Engineer,Female,88976,Other,Widowed,Fully Meets,3,1228,2,5,3,Technical Skills,Internal,Failed
802,27-01-2020,active,BPC,Active,Part-Time,Zone B,Part-Time,Production       ,Field Operations,Technician,Female,43853,Black,Single,Fully Meets,3,1229,4,2,5,Customer Service,External,Failed
803,04-03-2022,active,CCDR,Active,Contract,Zone C,Temporary,Production       ,Wireline Construction,Groundman,Female,19697,Hispanic,Widowed,Fully Meets,3,1230,5,4,4,Communication Skills,External,Completed
804,07-03-2020,active,EW,Active,Contract,Zone B,Temporary,Production       ,Wireless,Laborer,Female,50000,Black,Married,Fully Meets,3,1231,2,2,1,Project Management,External,Passed
805,19-03-2020,active,MSC,Active,Full-Time,Zone B,Full-Time,Production       ,People Services,Support,Female,35033,Other,Single,Fully Meets,3,1232,2,1,5,Leadership Development,Internal,Incomplete
806,23-07-2022,active,WBL,Active,Full-Time,Zone A,Part-Time,Production       ,Wireline Construction,Project Manager,Male,50676,Other,Divorced,Fully Meets,3,1233,5,5,3,Customer Service,Internal,Failed
807,18-10-2019,03-Oct-21,NEL,Terminated,Full-Time,Zone A,Temporary,Production       ,Sales & Marketing,Director,Female,25148,Black,Divorced,Fully Meets,3,1234,4,1,5,Leadership Development,Internal,Passed
808,14-04-2020,active,PL,Active,Full-Time,Zone B,Full-Time,Production       ,General - Con,Administrative,Female,96915,Other,Widowed,Fully Meets,3,1235,5,5,3,Project Management,Internal,Failed
809,25-11-2018,25-Jul-19,BPC,Terminated,Part-Time,Zone B,Full-Time,Production       ,Field Operations,Laborer,Female,95167,White,Married,Fully Meets,3,1236,1,4,1,Customer Service,External,Passed
810,23-03-2021,26-Aug-22,CCDR,Terminated,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),Engineer,Female,1223,Black,Divorced,Fully Meets,3,1237,4,3,1,Leadership Development,External,Passed
811,27-10-2020,08-Nov-21,SVG,Terminated,Part-Time,Zone B,Part-Time,Production       ,Engineers,Engineer,Female,31462,Other,Single,Fully Meets,3,1238,1,3,3,Leadership Development,Internal,Incomplete
812,11-06-2022,29-Jun-23,TNS,Terminated,Part-Time,Zone C,Temporary,Production       ,Splicing,Technician,Female,6735,Hispanic,Single,Fully Meets,3,1239,4,5,5,Project Management,Internal,Incomplete
813,19-03-2020,active,PYZ,Active,Contract,Zone B,Temporary,Production       ,Isp,Project Manager,Female,60585,Asian,Single,Fully Meets,3,1240,1,4,3,Communication Skills,External,Passed
814,07-11-2019,07-Dec-22,WBL,Terminated,Contract,Zone B,Full-Time,Production       ,Field Operations,Laborer,Female,46736,Black,Married,Fully Meets,3,1241,4,4,3,Project Management,External,Failed
815,24-04-2023,active,NEL,Active,Full-Time,Zone C,Part-Time,Production       ,Wireline Construction,Foreman,Female,35941,White,Married,Fully Meets,3,1242,4,4,1,Project Management,External,Passed
816,04-06-2020,active,PL,Active,Contract,Zone A,Temporary,Production       ,General - Con,Manager,Female,11657,White,Widowed,Fully Meets,3,1243,5,2,3,Communication Skills,Internal,Incomplete
817,23-05-2022,active,BPC,Active,Part-Time,Zone A,Full-Time,Production       ,Isp,Technician,Male,72528,Asian,Married,Fully Meets,3,1244,2,3,5,Technical Skills,External,Incomplete
818,17-05-2019,active,CCDR,Active,Full-Time,Zone B,Temporary,Production       ,Engineers,Technician,Male,14705,White,Widowed,Fully Meets,3,1245,3,5,5,Communication Skills,Internal,Incomplete
819,28-09-2018,25-Apr-21,SVG,Terminated,Part-Time,Zone B,Temporary,Production       ,Field Operations,Ceo,Male,5254,Black,Widowed,Fully Meets,3,1246,4,3,2,Communication Skills,Internal,Completed
820,04-03-2019,active,EW,Active,Part-Time,Zone C,Part-Time,Production       ,Wireless,Foreman,Female,94026,Other,Single,Fully Meets,3,1247,2,4,5,Customer Service,External,Completed
821,29-03-2021,01-Dec-21,MSC,Active,Part-Time,Zone B,Full-Time,Production       ,Underground,Operator,Female,90967,White,Divorced,Fully Meets,3,1248,5,3,2,Communication Skills,Internal,Passed
822,07-07-2019,14-Feb-20,TNS,Active,Full-Time,Zone A,Part-Time,Production       ,Field Operations,Driver,Female,46879,Asian,Divorced,Fully Meets,3,1249,2,4,2,Communication Skills,Internal,Completed
823,06-09-2018,active,BPC,Active,Contract,Zone B,Full-Time,Production       ,General - Sga,Lineman,Female,70353,Black,Widowed,Fully Meets,3,1250,4,5,1,Communication Skills,External,Incomplete
824,25-09-2018,active,CCDR,Active,Part-Time,Zone A,Part-Time,Production       ,Splicing,Laborer,Female,27888,Asian,Married,Fully Meets,3,1251,5,5,3,Communication Skills,External,Failed
825,11-03-2022,25-Apr-22,EW,Active,Part-Time,Zone A,Temporary,Production       ,Project Management - Con,Technician,Female,36258,Asian,Divorced,Fully Meets,3,1252,2,3,2,Leadership Development,Internal,Completed
826,13-07-2020,06-Oct-21,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Project Management - Con,Engineer,Female,17844,Asian,Divorced,Fully Meets,3,1253,2,4,2,Customer Service,Internal,Completed
827,22-06-2020,active,WBL,Active,Contract,Zone B,Full-Time,Production       ,General - Con,Groundman,Female,87263,White,Married,Fully Meets,3,1254,3,1,5,Project Management,Internal,Passed
828,30-09-2019,02-Mar-21,NEL,Terminated,Full-Time,Zone A,Temporary,Production       ,General - Con,Laborer,Female,8671,Black,Married,Fully Meets,3,1255,3,1,1,Customer Service,External,Passed
829,08-01-2020,active,PL,Active,Contract,Zone A,Temporary,Production       ,Wireline Construction,Laborer,Female,16520,White,Widowed,Fully Meets,3,1256,4,4,2,Project Management,Internal,Completed
830,16-10-2021,active,BPC,Active,Full-Time,Zone B,Temporary,Production       ,Engineers,Engineer,Female,22868,Asian,Divorced,Fully Meets,3,1257,2,1,1,Technical Skills,Internal,Failed
831,29-06-2022,active,CCDR,Active,Full-Time,Zone C,Temporary,Production       ,Aerial,Foreman,Female,59954,Other,Widowed,Fully Meets,3,1258,3,5,4,Project Management,Internal,Incomplete
832,01-05-2022,24-Apr-23,SVG,Terminated,Full-Time,Zone A,Temporary,Production       ,General - Con,Laborer,Male,43998,White,Single,Fully Meets,3,1259,1,3,4,Leadership Development,Internal,Completed
833,16-08-2018,active,TNS,Active,Full-Time,Zone B,Part-Time,Production       ,Project Management - Con,Manager,Female,75748,Asian,Married,Fully Meets,3,1260,5,2,5,Leadership Development,Internal,Completed
834,27-12-2019,active,PYZ,Active,Part-Time,Zone C,Temporary,Production       ,Field Operations,Laborer,Female,87591,Hispanic,Married,Fully Meets,3,1261,2,5,4,Project Management,External,Incomplete
835,01-07-2021,28-Mar-23,WBL,Terminated,Part-Time,Zone A,Full-Time,Production       ,Engineers,Engineer,Female,23777,Hispanic,Widowed,Fully Meets,3,1262,3,4,1,Communication Skills,Internal,Passed
836,20-10-2022,active,NEL,Active,Full-Time,Zone B,Full-Time,Production       ,Shop (Fleet),Foreman,Female,34732,Hispanic,Divorced,Fully Meets,3,1263,4,5,3,Communication Skills,Internal,Failed
837,15-02-2019,active,PL,Active,Full-Time,Zone C,Full-Time,Production       ,Field Operations,Director,Female,28097,Hispanic,Married,Fully Meets,3,1264,3,5,4,Customer Service,Internal,Failed
838,17-01-2022,25-Jul-22,BPC,Terminated,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Laborer,Male,39841,Black,Widowed,Fully Meets,3,1265,4,2,5,Leadership Development,Internal,Incomplete
839,14-11-2021,01-Jul-22,CCDR,Terminated,Full-Time,Zone A,Full-Time,Production       ,Project Management - Con,Manager,Male,46871,Hispanic,Divorced,Fully Meets,3,1266,1,3,1,Project Management,Internal,Incomplete
840,14-11-2020,22-Dec-20,SVG,Active,Part-Time,Zone C,Full-Time,Production       ,General - Con,Lineman,Female,91614,White,Divorced,Fully Meets,3,1267,4,1,5,Technical Skills,Internal,Failed
841,25-02-2023,active,EW,Active,Part-Time,Zone A,Part-Time,Production       ,General - Con,Technician,Female,89515,Other,Single,Fully Meets,3,1268,2,1,2,Project Management,External,Passed
842,23-08-2022,active,MSC,Active,Contract,Zone A,Full-Time,Production       ,Yard (Material Handling),Laborer,Female,82774,Black,Divorced,Fully Meets,3,1269,1,2,4,Customer Service,External,Passed
843,01-05-2019,31-Dec-19,TNS,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Laborer,Female,79937,Hispanic,Married,Fully Meets,3,1270,5,5,1,Leadership Development,External,Completed
844,26-04-2020,active,PYZ,Active,Full-Time,Zone A,Part-Time,Production       ,General - Sga,Foreman,Female,95232,Asian,Widowed,Fully Meets,3,1271,3,1,5,Customer Service,Internal,Completed
845,08-02-2021,15-Jul-22,WBL,Active,Full-Time,Zone C,Temporary,Production       ,General - Eng,Coordinator,Female,37465,Black,Single,Fully Meets,3,1272,4,2,3,Technical Skills,Internal,Failed
846,29-10-2020,26-Jan-21,NEL,Active,Contract,Zone A,Part-Time,Production       ,General - Sga,Manager,Female,50409,Asian,Single,Fully Meets,3,1273,1,4,2,Technical Skills,External,Incomplete
847,22-11-2022,active,PL,Active,Contract,Zone A,Full-Time,Production       ,Engineers,Engineer,Female,2006,Black,Single,Fully Meets,3,1274,2,1,5,Project Management,Internal,Passed
848,11-10-2022,active,CCDR,Active,Full-Time,Zone B,Part-Time,Production       ,Aerial,Splicer,Female,55846,Other,Single,Fully Meets,3,1275,2,5,3,Communication Skills,External,Incomplete
849,28-12-2019,active,EW,Active,Full-Time,Zone A,Full-Time,Production       ,General - Sga,Administrator,Female,74245,White,Married,Fully Meets,3,1276,1,4,5,Communication Skills,Internal,Failed
850,11-04-2019,active,MSC,Active,Full-Time,Zone C,Part-Time,Production       ,Splicing,Technician,Female,95565,Other,Single,Fully Meets,3,1277,4,3,3,Communication Skills,Internal,Passed
851,26-10-2020,active,NEL,Active,Full-Time,Zone A,Part-Time,Production       ,Field Operations,Laborer,Female,89318,White,Divorced,Fully Meets,3,1278,2,4,5,Technical Skills,Internal,Incomplete
852,09-07-2021,27-Jan-23,PL,Terminated,Part-Time,Zone B,Full-Time,Production       ,Field Operations,Technician,Female,29507,White,Married,Fully Meets,3,1279,3,3,5,Technical Skills,Internal,Incomplete
853,12-01-2022,active,MSC,Active,Full-Time,Zone C,Temporary,Production       ,General - Sga,Administrator,Male,77219,Black,Single,Fully Meets,3,1280,3,2,2,Leadership Development,External,Completed
854,07-08-2020,20-Jul-21,TNS,Terminated,Part-Time,Zone A,Part-Time,Production       ,Finance & Accounting,Administrative,Female,30117,White,Widowed,Fully Meets,3,1281,4,2,1,Project Management,External,Completed
855,10-04-2021,19-Nov-22,BPC,Terminated,Part-Time,Zone A,Temporary,Production       ,Catv,Administrative,Female,30179,Black,Widowed,Fully Meets,3,1282,3,3,1,Leadership Development,External,Passed
856,11-01-2021,active,CCDR,Active,Full-Time,Zone C,Full-Time,Production       ,General - Eng,Drafter,Female,72581,Asian,Married,Fully Meets,3,1283,2,1,2,Customer Service,External,Failed
857,08-12-2019,active,EW,Active,Contract,Zone B,Full-Time,Production       ,General - Eng,Supervisor,Female,39352,Other,Married,Fully Meets,3,1284,5,1,5,Communication Skills,External,Completed
858,26-09-2021,active,MSC,Active,Part-Time,Zone C,Full-Time,Production       ,General - Eng,Supervisor,Male,89374,Hispanic,Widowed,Fully Meets,3,1285,3,2,2,Project Management,External,Completed
859,09-09-2021,28-Oct-21,NEL,Terminated,Full-Time,Zone B,Temporary,Production       ,Field Operations,Driller,Male,74629,Asian,Divorced,Fully Meets,3,1286,1,5,1,Customer Service,Internal,Incomplete
860,19-09-2020,20-Feb-23,PL,Terminated,Full-Time,Zone A,Full-Time,Production       ,General - Con,Technician,Female,56136,Black,Widowed,Fully Meets,3,1287,3,5,2,Technical Skills,External,Completed
861,11-01-2022,26-Oct-22,PYZ,Active,Full-Time,Zone C,Part-Time,Production       ,Aerial,Lineman,Female,69514,Hispanic,Single,Fully Meets,3,1288,2,4,5,Technical Skills,External,Incomplete
862,18-07-2019,active,SVG,Active,Full-Time,Zone C,Full-Time,Production       ,General - Con,Clerk,Female,40307,Other,Single,Fully Meets,3,1289,5,3,1,Leadership Development,Internal,Incomplete
863,13-04-2021,active,TNS,Active,Full-Time,Zone A,Full-Time,Production       ,General - Sga,Administrator,Female,57255,White,Married,Fully Meets,3,1290,5,4,2,Leadership Development,External,Completed
864,17-06-2023,27-Jul-23,WBL,Active,Contract,Zone B,Temporary,Production       ,Engineers,Coordinator,Female,94486,Black,Divorced,Fully Meets,3,1291,5,4,5,Technical Skills,Internal,Passed
865,27-10-2018,active,BPC,Active,Full-Time,Zone A,Part-Time,Production       ,Engineers,Engineer,Female,28931,White,Divorced,Fully Meets,3,1292,1,4,3,Customer Service,Internal,Completed
866,01-06-2021,29-Apr-23,CCDR,Active,Contract,Zone B,Full-Time,Production       ,Wireline Construction,Lineman,Female,60878,Asian,Single,Fully Meets,3,1293,2,3,2,Project Management,Internal,Passed
867,07-04-2023,07-May-23,EW,Active,Part-Time,Zone B,Part-Time,Production       ,Wireline Construction,Laborer,Female,58589,Hispanic,Single,Fully Meets,3,1294,5,4,2,Technical Skills,Internal,Passed
868,13-06-2021,active,PYZ,Active,Full-Time,Zone A,Full-Time,Production       ,General - Con,Groundman,Female,26059,Other,Married,Fully Meets,3,1295,3,3,3,Communication Skills,Internal,Incomplete
869,13-03-2019,12-Sep-20,WBL,Terminated,Full-Time,Zone B,Part-Time,Production       ,Field Operations,Administrator,Female,94411,Asian,Widowed,Fully Meets,3,1296,1,1,5,Communication Skills,External,Passed
870,24-05-2019,09-Oct-21,NEL,Terminated,Part-Time,Zone A,Temporary,Production       ,Isp,Technician,Female,46980,Other,Married,Fully Meets,3,1297,2,4,4,Project Management,External,Passed
871,25-02-2023,active,PL,Active,Part-Time,Zone B,Temporary,Production       ,General - Con,Laborer,Female,12398,Black,Married,Fully Meets,3,1298,1,2,1,Project Management,Internal,Passed
872,24-03-2020,active,BPC,Active,Contract,Zone B,Full-Time,Production       ,Aerial,Foreman,Female,95571,Asian,Widowed,Fully Meets,3,1299,1,2,2,Project Management,External,Completed
873,12-06-2021,active,CCDR,Active,Contract,Zone B,Temporary,Production       ,Field Operations,Laborer,Female,91189,Black,Married,Fully Meets,3,1300,1,3,1,Technical Skills,Internal,Passed
874,22-03-2019,23-Mar-22,MSC,Terminated,Part-Time,Zone B,Temporary,Production       ,Field Operations,Driller,Female,62803,Asian,Widowed,Fully Meets,3,1301,1,4,2,Communication Skills,Internal,Incomplete
875,08-03-2021,17-Dec-22,TNS,Terminated,Full-Time,Zone A,Full-Time,Production       ,Field Operations,Laborer,Female,77552,Other,Married,Fully Meets,3,1302,1,2,4,Project Management,Internal,Passed
876,15-05-2020,active,PYZ,Active,Contract,Zone A,Full-Time,Production       ,Finance & Accounting,Administration,Female,35973,Hispanic,Single,Fully Meets,3,1303,5,3,5,Leadership Development,Internal,Failed
877,24-01-2023,active,WBL,Active,Full-Time,Zone B,Part-Time,Production       ,Safety,Safety,Female,47801,Asian,Widowed,Fully Meets,3,1304,3,5,1,Communication Skills,External,Completed
878,06-01-2021,30-Dec-22,NEL,Terminated,Full-Time,Zone B,Temporary,Production       ,Field Operations,Laborer,Male,1615,White,Married,Fully Meets,3,1305,2,5,2,Technical Skills,Internal,Failed
879,16-04-2021,active,PL,Active,Part-Time,Zone B,Part-Time,Production       ,Project Management - Con,Coordinator,Male,49042,Hispanic,Single,Fully Meets,3,1306,1,3,5,Technical Skills,External,Failed
880,22-09-2021,25-Oct-21,BPC,Terminated,Contract,Zone A,Full-Time,Production       ,Engineers,Director,Male,94852,Black,Married,Fully Meets,3,1307,1,5,1,Technical Skills,Internal,Incomplete
881,28-06-2022,07-Mar-23,CCDR,Active,Full-Time,Zone C,Full-Time,Production       ,Project Management - Con,Supervisor,Female,60350,Asian,Divorced,Fully Meets,3,1308,4,5,2,Leadership Development,External,Failed
882,17-08-2020,active,SVG,Active,Part-Time,Zone C,Part-Time,Production       ,Field Operations,Driller,Female,41055,Other,Widowed,Fully Meets,3,1309,1,1,3,Technical Skills,External,Failed
883,03-04-2023,21-Jul-23,EW,Active,Part-Time,Zone B,Full-Time,Production       ,General - Con,Technician,Female,21439,Asian,Single,Fully Meets,3,1310,3,4,3,Project Management,Internal,Incomplete
884,26-05-2023,12-Jun-23,MSC,Active,Full-Time,Zone C,Part-Time,Production       ,Engineers,Specialist,Male,32645,Asian,Single,Fully Meets,3,1311,5,2,3,Leadership Development,Internal,Incomplete
885,10-04-2021,active,TNS,Active,Full-Time,Zone B,Full-Time,Production       ,General - Eng,Technician,Female,47354,Black,Widowed,Fully Meets,3,1312,2,5,2,Communication Skills,Internal,Completed
886,18-04-2023,active,PYZ,Active,Contract,Zone C,Part-Time,Production       ,Field Operations,Operator,Female,64005,Hispanic,Single,Fully Meets,3,1313,5,4,1,Leadership Development,Internal,Incomplete
887,13-10-2021,21-Jun-23,WBL,Active,Contract,Zone C,Full-Time,Production       ,General - Con,Technician,Female,91553,White,Divorced,Fully Meets,3,1314,5,5,3,Project Management,Internal,Passed
